TREES NAME,SCIENTIFIC NAME OF TREE,NUMBER OF TREES
ACACIA,genus Acacia,3
HAINANIA,Hainania trichosperma Merr,4
BANANA TREE,Musa,7
PAPAYA TREE,Carica papaya,2
NEEM TREE,Azadirachta indica,5
ALMOND TREE,Prunus dulcis,2
MONKEY POD TREE,Samanea saman,1
COCONUT TREE,Cocos nucifera,3
INDIAN BEECH TREE,Millettia pinnata,5
ASHOK TREE,Saraca asoca,1
CHRISTMAS TREE,Araucaria columnariS,1
BIRD CATCHER TREE,Pisonia grandis,1
GULMOHAR TREE,Delonix regia,2
JACKFRUIT TREE,Artocarpus heterophyllus,1
STERCULIA FOETIDA,Sterculia,1