TREES NAME,SCIENTIFIC NAME OF TREE,NUMBER OF TREE
NEEM TREE,Azadirachta indica,77
INDIAN BEECH TREE,Millettia pinnata,79
MONKEY POD TREE,Samanea saman,38
ALMOND TREE,Prunus dulcis,28
BAMBOO CYCAD,Ceratozamia hildae,31
ASHOK TREE,Saraca asoca,110
TECTONA TREE,Tectona grandis,34
ORCHID TREE,Bauhinia variegata,9
RAMBUTAN TREE,Nephelium lappaceum,1
STERCULIA FOETIDA,Sterculia,2
PORTIA TREE,Thespesia populnea,1
GULMOHAR TREE,Delonix regia,24
PINE,Pinus roxburghii,3
BAMBOO TREE,Phyllostachys aurea,23
PALM TREE,Arecaceae,21
SACRED FIG TREE,Ficus religiosa,5
Asian Bullet Wood,MIMUSOPS ELENGI,38
ALEXANDRIAN LAUREL,Calophyllum inophyllum,10
COCONUT TREE,Cocos nucifera,43
FOX TAIL PALM TREE,Wodyetia bifurcata,17
BOTTLE PALM TREE,Hyophorbe lagenicaulis,9
BANANA TREE,Musa,50
ROYAL PALM TREE,Roystonea regia,43
PAPAYA TREE,Carica papaya,8
SAPOTA TREE,Manilkara zapota,9
TAMARIND,Tamarindus indica,9
MANGO TREE,Mangifera indica,27
GUAVA TREE,Psidium guajava,8
FISHTAIL PALM,Caryota,13
CAPE FIG,Ficus capensis,7
JAMUN TREE,Syzygium cumini,1
CHILEAN JASMINE,Mandevilla laxa,3
OLEANDER TREE,Nerium oleander,1
CHRISTMAS TREE,Araucaria columnariS,4
AFRICAN TALISAY,Terminalia Mantaly,8
COOK PINE,Araucaria columnaris,1
AMALTAS TREE,Cassia fistula,1
FIG TREE,Ficus carica,1
GOLDEN BAMBOO TREE,Phyllostachys aurea,65
ACACIA,genus Acacia,3
HAINANIA,Hainania trichosperma Merr,4
BIRD CATCHER TREE,Pisonia grandis,5
JACKFRUIT TREE,Artocarpus heterophyllus,5
CONIFER TREE ,Pinophyta,3
AFRICAN TULIP TREE,Spathodea campanulata,2
CUSTARD APPLE TREE,Annona squamosa,1
CHRISTMAS PALM TREE,Adonidia merrillii,3
YELLOW ELDER TREE,Tecoma stans,4