TREES NAME,SCIENTIFIC NAME OF  TREE,TREES COUNT
BAMBOO TREE,Ceratozamia hildae,4
PALM TREE,Arecaceae,7
SACRED FIG TREE,Ficus religiosa,2
ASHOK TREE,Saraca asoca,17
Asian Bullet Wood,MIMUSOPS ELENGI,7
YELLOW ELDER TREE,Tecoma stans,2
COCONUT TREE,Cocos nucifera,5
NEEM TREE,Azadirachta indica,12
FOX TAIL PALM TREE,Wodyetia bifurcata,17
BOTTLE PALM TREE,Hyophorbe lagenicaulis,9
ALEXANDRIAN LAUREL,Calophyllum inophyllum,8
TECTONA TREE,Tectona grandis,20
BANANA TREE ,Musa,5
INDIAN BEECH TREE,Millettia pinnata,6
ALMOND TREE,Prunus dulcis,7
ROYAL PALM TREE,Roystonea regia,17
PAPAYA TREE,Carica papaya,5
PINE,Pinus roxburghii,2
SAPOTA TREE,Manilkara zapota,2
MONKEY POD TREE,Samanea saman,1