NAME OF TREE,SCIENTIFIC NAME OF TREE,NUMBER OF TREES
TAMARIND,Tamarindus indica,4
BAMBOO TREE,Bambusa vulgaris,19
NEEM TREE,Azadirachta indica,16
PORTIA TREE,Thespesia populnea,1
ASIAN BULLET WOOD,MIMUSOPS ELENGI,16
ALMOND TREE,Prunus dulcis,5
TECTONA TREE,Tectona grandis,3
COCONUT TREE,Cocos nucifera,9
BANANA TREE,Musa,12
RAMBUTAN TREE,Nephelium lappaceum,1
ORCHID TREE,Bauhinia variegata,9
FISHTAIL PALM,Caryota,13
PALM TREE,Arecaceae,8
INDIAN BEECH TREE,Millettia pinnata,22
MONKEY POD TREE,Samanea saman,17
AMALTAS TREE,Cassia fistula,1
ASHOK TREE,Saraca asoca,39
MANGO TREE,Mangifera indica,14
SAPOTA TREE,Manilkara zapota,5
GULMOHAR TREE,Delonix regia,12
CAPE FIG,Ficus capensis,7
GUAVA TREE,Psidium guajava,4
JAMUN TREE,Syzygium cumini,1
CHILEAN JASMINE,Mandevilla laxa,3
OLEANDER TREE,Nerium oleander,1
CHRISTMAS TREE,Araucaria columnariS,3
AFRICAN TALISAY,Terminalia Mantaly,8
ALEXANDRIAN LAUREL,Calophyllum inophyllum,2
COOK PINE,Araucaria columnaris,1
BAMBOO CYCAD,Ceratozamia hildae,15
ROYAL PALM TREE,Roystonea regia,12